Comparing ct_helmets and t_helmets with round_winner to identify whether helmet presence on either side correlates with winning a round:
ct_helmets  t_helmets  round_winner
0.0         0.0        CT
0.0         0.0        T
0.0         1.0        CT
0.0         1.0        T
0.0         2.0        CT
0.0         2.0        T
0.0         3.0        CT
0.0         3.0        T
0.0         4.0        CT
0.0         4.0        T
0.0         5.0        CT
0.0         5.0        T
1.0         0.0        CT
1.0         0.0        T
1.0         1.0        CT
1.0         1.0        T
1.0         2.0        CT
1.0         2.0        T
1.0         3.0        CT
1.0         3.0        T
1.0         4.0        CT
1.0         4.0        T
1.0         5.0        CT
1.0         5.0        T
2.0         0.0        CT
2.0         0.0        T
2.0         1.0        CT
2.0         1.0        T
2.0         2.0        CT
2.0         2.0        T
2.0         3.0        CT
2.0         3.0        T
2.0         4.0        CT
2.0         4.0        T
2.0         5.0        CT
2.0         5.0        T
3.0         0.0        CT
3.0         0.0        T
3.0         1.0        CT
3.0         1.0        T
3.0         2.0        CT
3.0         2.0        T
3.0         3.0        CT
3.0         3.0        T
3.0         4.0        CT
3.0         4.0        T
3.0         5.0        CT
3.0         5.0        T
4.0         0.0        CT
4.0         0.0        T
4.0         1.0        CT
4.0         1.0        T
4.0         2.0        CT
4.0         2.0        T
4.0         3.0        CT
4.0         3.0        T
4.0         4.0        CT
4.0         4.0        T
4.0         5.0        CT
4.0         5.0        T
5.0         0.0        CT
5.0         0.0        T
5.0         1.0        CT
5.0         1.0        T
5.0         2.0        CT
5.0         2.0        T
5.0         3.0        CT
5.0         4.0        CT
5.0         4.0        T
5.0         5.0        CT
5.0         5.0        T
