Comparing time, bomb_planted, and round_winner
time    bomb_planted  round_winner
100.16  False         CT
100.35  False         T
100.4   False         CT
10.28   True          T
103.17  False         CT
10.3    True          T
104.95  False         T
105.48  False         CT
106.84  False         T
106.86  False         T
106.87  False         CT
106.87  False         T
106.88  False         CT
106.89  False         T
106.91  False         CT
106.91  False         T
106.95  False         CT
106.98  False         T
106.9   False         T
107.18  False         T
107.52  False         T
107.57  False         T
109.27  False         CT
109.66  False         T
109.74  False         CT
109.77  False         T
109.85  False         CT
109.85  False         T
109.89  False         CT
109.95  False         CT
109.95  False         T
109.96  False         CT
109.96  False         T
1.09    True          T
11.22   True          T
112.48  False         T
113.98  False         T
114.18  False         CT
114.57  False         CT
114.85  False         T
114.87  False         CT
114.88  False         CT
114.89  False         CT
114.8   False         T
114.91  False         CT
114.91  False         T
114.92  False         CT
114.92  False         T
114.93  False         CT
114.93  False         T
114.94  False         CT
114.94  False         T
114.95  False         CT
114.95  False         T
114.96  False         CT
114.96  False         T
114.97  False         T
114.9   False         CT
114.9   False         T
12.05   True          T
12.73   True          T
12.94   False         T
13.48   True          T
13.77   False         T
1.41    True          T
14.44   True          T
14.64   True          T
14.76   False         CT
14.83   False         CT
14.84   False         CT
14.89   False         CT
14.89   False         T
14.91   False         CT
14.93   False         CT
14.93   False         T
14.94   False         CT
14.95   False         CT
14.95   False         T
14.96   False         CT
14.96   False         T
155.06  False         T
155.53  False         CT
15.61   True          T
15.62   True          T
156.7   False         T
157.06  False         CT
157.13  False         T
158.26  False         CT
159.62  False         T
15.98   True          T
16.13   True          T
162.57  False         T
16.27   True          T
163.13  False         T
163.44  False         T
16.41   True          T
164.93  False         T
165.0   False         CT
165.33  False         CT
165.85  False         CT
166.38  False         CT
166.83  False         T
166.86  False         CT
166.87  False         CT
166.88  False         T
166.89  False         CT
166.91  False         CT
166.91  False         T
166.93  False         CT
166.9   False         CT
167.0   False         CT
167.0   False         T
167.13  False         CT
167.54  False         T
167.84  False         CT
168.7   False         T
169.09  False         T
169.48  False         T
169.77  False         CT
169.87  False         T
16.98   False         T
169.91  False         CT
169.91  False         T
169.93  False         CT
169.94  False         T
169.95  False         CT
169.95  False         T
169.96  False         T
169.97  False         T
169.9   False         CT
170.0   False         CT
170.0   False         T
171.28  False         CT
171.52  False         T
173.53  False         CT
17.41   True          T
174.29  False         CT
174.85  False         CT
174.86  False         T
174.88  False         T
174.89  False         CT
17.48   True          T
174.91  False         CT
174.91  False         T
174.92  False         CT
174.92  False         T
174.93  False         CT
174.93  False         T
174.94  False         CT
174.94  False         T
174.95  False         CT
174.95  False         T
174.96  False         CT
174.96  False         T
174.97  False         CT
175.0   False         CT
175.0   False         T
17.52   True          T
17.71   True          T
19.02   True          T
19.0    True          CT
19.59   True          T
19.77   True          CT
20.11   True          T
20.34   True          T
20.84   True          T
21.12   True          T
21.42   True          CT
21.42   True          T
21.51   True          T
21.64   True          T
22.09   True          T
22.52   False         CT
22.54   True          CT
22.8    True          T
23.12   True          CT
23.14   True          CT
23.45   True          T
23.55   True          T
23.81   True          T
23.84   True          T
24.08   True          T
24.65   True          T
24.72   True          CT
24.84   True          T
25.28   False         T
25.49   True          T
25.53   True          T
25.65   True          T
25.66   False         T
25.7    True          CT
25.89   True          T
26.37   True          T
2.66    True          T
26.6    True          T
26.76   False         CT
26.84   False         CT
26.87   False         CT
27.03   True          T
27.09   True          T
27.6    True          CT
28.07   False         CT
28.25   True          CT
28.32   True          CT
28.34   True          T
28.3    False         CT
28.5    True          T
29.1    True          T
29.59   True          T
29.87   True          CT
29.91   False         T
29.93   False         CT
29.93   False         T
29.94   False         T
29.95   False         T
29.96   False         CT
30.69   True          T
30.81   True          T
30.83   True          CT
30.84   True          T
30.88   True          T
31.34   True          T
31.49   True          CT
31.55   True          T
31.62   False         T
32.3    True          T
32.44   False         T
